ymd,category,addr,notes,count
2016/06/02,払出し盗,南流山4丁目,,1
2016/06/02,万引き,西初石6丁目,,1
2016/06/02,さい銭ねらい,駒木台,,1
2016/06/04,自転車盗,大字三輪野山4丁目,,1
2016/06/04,万引き,江戸川台東2丁目,,1
2016/06/06,部品ねらい,大字西平井,,1
2016/06/06,器物損壊,平和台4丁目,,1
2016/06/06,万引き,向小金1丁目,,1
2016/06/07,自転車盗,大字東深井,,1
2016/06/07,器物損壊,市野谷,,1
2016/06/07,住居侵入,美原2丁目,,1
2016/06/07,工事場ねらい,大字西深井,,1
2016/06/08,自動車盗,向小金1丁目,,1
2016/06/08,忍び込み,江戸川台西1丁目,戸建,1
2016/06/08,非侵入窃盗,名都借,,1
2016/06/09,車上ねらい,大字三輪野山4丁目,,1
2016/06/10,自動車盗,江戸川台東1丁目,,1
2016/06/10,車上ねらい,南流山1丁目,,1
2016/06/10,部品ねらい,南流山7丁目,,1
2016/06/10,置引き,大字西平井,,1
2016/06/11,事務所荒らし,大字西平井,,1
2016/06/11,自転車盗,野々下6丁目,,1
2016/06/11,器物損壊,大字東深井,,1
2016/06/11,万引き,流山9丁目,,1
2016/06/12,自転車盗,南流山6丁目,,1
2016/06/12,自転車盗,駒木,,1
2016/06/12,器物損壊,南流山7丁目,,1
2016/06/12,横領,南流山1丁目,,1
2016/06/13,建造物侵入,大字南,,1
2016/06/13,職場ねらい,西初石6丁目,,1
2016/06/14,空き巣,加4丁目,集合住宅,1
2016/06/14,忍び込み,大字木,戸建,1
2016/06/14,忍び込み,大字西平井,戸建,1
2016/06/14,自転車盗,大字西平井,,1
2016/06/14,自転車盗,大字東深井,,1
2016/06/14,自転車盗,宮園1丁目,,1
2016/06/14,万引き,西初石3丁目,,1
2016/06/14,恐喝,市野谷,,1
2016/06/14,非侵入窃盗,大字西平井,,1
2016/06/14,非侵入窃盗,大字平方,,1
2016/06/15,空き巣,南流山1丁目,集合住宅,1
2016/06/15,自転車盗,西初石6丁目,,1
2016/06/15,万引き,西初石6丁目,,1
2016/06/16,空き巣,向小金2丁目,集合住宅,1
2016/06/16,置き引き,駒木,,1
2016/06/16,万引き,流山9丁目,,1
2016/06/16,住居侵入,江戸川台東1丁目,,1
2016/06/17,自転車盗,南流山1丁目,,1
2016/06/17,自転車盗,大字東深井,,1
2016/06/17,器物損壊,加4丁目,,1
2016/06/17,万引き,十太夫,2件,1
2016/06/17,万引き,松ヶ丘3丁目,,1
2016/06/17,万引き,大字東深井,,1
2016/06/17,万引き,西初石6丁目,,1
2016/06/18,自転車盗,南流山1丁目,,1
2016/06/18,器物損壊,南流山7丁目,,1
